Disease,OrphaCode,Query,Count
Non-amyloid fibrillary glomerulopathy,97566,,0
Pauci-immune glomerulonephritis with ANCA,97563,,0
17q11 microdeletion syndrome,97685,,0
Idiopathic isolated micropenis,95707,,0
Posterior hypospadias,95706,,0
X-linked adrenal hypoplasia congenita,95702,,0
Congenital hypothyroidism due to transplacental passage of TSH-binding inhibitory antibodies,95715,,0
Familial thyroid dyshormonogenesis,95716,,0
Athyreosis,95713,,0
Thyroid ectopia,95712,,0
Post-traumatic pituitary deficiency,95619,,0
Pituitary apoplexy,95613,,0
Familial adrenal hypoplasia with absent pituitary luteinizing hormone,95700,,0
Congenital adrenal hyperplasia due to cytochrome P450 oxidoreductase deficiency,95699,,0
Acquired central diabetes insipidus,95626,,0
Congenital anomaly of hepatic vein,95507,Arteriovenous+Malformations+Hepatic+vein%2Fab,100
Adenohypophysitis,95512,,0
Panhypophysitis,95513,,0
Congenital coronary artery aneurysm,95491,Coronary+Aneurysm%2Fcn+OR+Coronary%5Bti%5D+Aneurysm%5Bti%5D+congenital,217
Premature closure of the arterial duct,95486,(ductus+arteriosus+OR+arterial+duct)+(premature+clos*%5Btw%5D),71
Pituitary stalk interruption syndrome,95496,,0
"Combined pituitary hormone deficiencies, genetic forms",95494,,0
Mesocardia,95443,"(mesocardia+Heart+Defects,+Congenital+OR+Mesocardia%5Bti%5D+OR+Midline+heart%5Btw%5D)+(humans+OR+patient)",51
Congenital aortic valve atresia,95448,atresia%5Bti%5D+Aortic+Valve%2Fab+OR+Aortic+valve+atresia%5Btw%5D,137
Autosomal recessive spinocerebellar ataxia-blindness-deafness syndrome,95433,Cerebellar+ataxia+blindness+deafness+NOT+mitochondr*,14
Autosomal recessive cerebellar ataxia-saccadic intrusion syndrome,95434,((SPINOCEREBELLAR+ataxia++OR+Cerebellar+ataxia)+saccad*+Ocular+Motility+Disorders)+NOT+dominant,104
Tricuspid valve agenesis,95457,Tricuspid%5Bti%5D++(agenesis%5Bti%5D+OR+absence%5Bti%5D+OR+absent%5Bti%5D+OR+missing%5Bti%5D)+tricuspid+valve%2Fab+NOT+tricuspid+atresia,5
Tricuspid valve prolapse,95458,Tricuspid+valve+prolapse,606
Stevens-Johnson syndrome/toxic epidermal necrolysis spectrum,95455,Stevens+Johnson+Syndrome+OR+toxic+epidermal+necrolysis,7357
Accessory tricuspid valve tissue,95462,Tricuspid+valve%2Fab+accessory+tissue,17
Congenital tricuspid stenosis,95459,Tricuspid+valve+stenosis%2Fcn+OR+(congenital%5Bti%5D+Tricuspid+stenosis%5Bti%5D),101
Straddling or overriding tricuspid valve,95461,Tricuspid+valve+(straddling%5Bti%5D+OR+overriding%5Bti%5D)+(humans+OR+patient),58
Double-orifice mitral valve,95474,double+orifice%5Btw%5D+mitral+valve+AND+mitral%5Bti%5D+NOT+repair%5Bti%5D,198
Cleft mitral valve,95465,cleft+mitral+valve%5Btw%5D+OR+mitral+valve+cleft%5Btw%5D,132
Lissencephaly due to LIS1 mutation,95232,,0
Hepatoerythropoietic porphyria,95159,,0
COG8-CDG,95428,"(Carbohydrate+Metabolism,+Inborn+Errors+OR+glycosylation)+(type+IIh%5Btw%5D+OR+type+2h%5Btw%5D)+OR+cgd2h+OR+cdgiih+OR+cdg+iih%5Btw%5D",3
Secondary short bowel syndrome,95427,((Short+Bowel+Syndrome%5Bmh%5D+OR+short+bowel%5Bti%5D)+(resection*+OR+postoperative))+NOT+(neonatal+OR+infants+OR+rat),752
Acute adrenal insufficiency,95409,acute%5Bti%5D+adrenal+insufficiency%5Bmajr%5D+OR+acute+adrenal+insufficiency%5Bti%5D+OR+Waterhouse+Friderichsen%5Btw%5D,1006
Twin to twin transfusion syndrome,95431,(Foeto+foetal%5Bti%5D+OR+Twin+to+twin%5Bti%5D+OR+twin+twin%5Bti%5D)+transfusion+OR+Fetofetal+Transfusion%5Bmh%5D,2205
Congenital tracheomalacia,95430,(tracheomalacia+congenital+OR+Tracheal+Stenosis%2Fcn)+trachea%2Fab,109
Angioma serpiginosum,95429,serpiginosum+(genetics+OR+family+OR+x+linked%5Btw%5D+OR+dominant+OR+familial),39
Mills syndrome,94091,%22Mills+syndrome%22+OR+(Mills,27770
Neuroleptic malignant syndrome,94093,%22neuroleptic+malignant%22+syndrome,2710
Spondylocostal dysostosis-anal atresia-genitourinary malformation syndrome,94095,(costovertebral+OR+Spondylocostal+OR+%22Jarcho+Levin%22)+anal+(urogenital+OR+genitourinary)+(malformations+OR+anomalies)+OR+Casamassima+Morton+Nance,7
"Cerebellar ataxia, Cayman type",94122,Cayman+ataxia,18
Spinocerebellar ataxia with axonal neuropathy type 1,94124,Spinocerebellar+ataxia+axonal+neuropathy+(%22type+1%22+OR+%22type+i%22+OR+scan1),43
Recessive mitochondrial ataxia syndrome,94125,ataxia+((POLG+OR+pol+gamma)+(A467T+OR+W748S+OR+G848S)+OR+MIRAS),55
Spinocerebellar ataxia type 7,94147,ataxia+dominant+(type+7%5Bti%5D+OR+sca7%5Bti%5D+OR+sca+7%5Bti%5D+OR+macular+dystroph*%5Btw%5D+OR+retinal+degeneration+OR+%22ataxin+7%22+OR+ATXN7),155
Anonychia congenita totalis,94150,,0
Deafness-infertility syndrome,94064,sensorineural+deafness+infertility+male,26
12q14 microdeletion syndrome,94063,osteopoikilosis+mental+retardation+stature,4
Severe intellectual disability-epilepsy-anal anomalies-distal phalangeal hypoplasia,94066,mental+retardation+epilepsy+anal%anomalies,1
15q24 microdeletion syndrome,94065,microcephaly%+hypospadias+loose+connective+tissue,1
Spondyloepiphyseal dysplasia congenita,94068,,0
Partington syndrome,94083,%22Partington+syndrome%22+OR+(%22X+linked%22+retardation%5Bti%5D+(dystonia+OR+dystonic%5Bti%5D)+ARX),27
Non-functioning paraganglioma,94080,(pheochromocytoma%5Bti%5D+OR+paraganglioma*%5Bti%5D+OR+paraganglioma%5Bmh%5D)+(%22non+secreting%22),41
Blue diaper syndrome,94086,Blue+diaper+syndrome,12
Cerebro-oculo-facial-lymphatic syndrome,94084,"(Pachygyria%5Btw%5D+OR+gyral%5Btw%5D+OR+gyri%5Btw%5D)+epilepsy%5Bmh%5D+Abnormalities,+Multiple+OR+Fryns+Aftimos%5Btw%5D",29
Hereditary renal hypouricemia,94088,(hereditary+OR+inherited+OR+familial)+%22renal+hypouricemia%22,93
Cytophagic histiocytic panniculitis,94087,Panniculitis+cytophagic+(histiocytic+OR+Winkelmann*%5Btw%5D),101
Pseudohypoparathyroidism type 2,94090,(Pseudohypoparathyroidism%5Bti%5D+OR+Pseudohypoparathyroidism%5Bmh%5D)+(%22type+2%22+OR+%22type+ii%22),78
Pseudohypoparathyroidism type 1B,94089,(Pseudohypoparathyroidism%5Bti%5D+OR+Pseudohypoparathyroidism%5Bmh%5D)+(%22type+1B%22+OR+%22type+ib%22),145
Ring chromosome 11 syndrome,96175,(Chromosome+11%5Bmh%5D+ring+chromosomes%5Bmh%5D)+OR+ring+chromosome+11%5Btw%5D+OR+ring+11+chromosome%5Btw%5D,31
Ring chromosome 9 syndrome,96173,((Chromosome+9%5Bmh%5D+ring+chromosomes%5Bmh%5D)+OR+ring+chromosome+9%5Btw%5D)+NOT+mosaic*,35
Ring chromosome 3 syndrome,96172,(Chromosome+3%5Bmh%5D+ring+chromosomes%5Bmh%5D)+OR+ring+chromosome+3%5Btw%5D+OR+ring+3+chromosome%5Btw%5D,23
Ring chromosome 2 syndrome,96171,(Chromosome+2%5Bmh%5D+ring+chromosomes%5Bmh%5D)+OR+ring+chromosome+2%5Btw%5D+OR+ring+2+chromosome%5Btw%5D,23
Emanuel syndrome,96170,(((22%5Bti%5D+11%5Bti%5D+OR+11q+22q+OR+11%3B22%5Bti%5D)+translocation)+OR+%22der(22)t(11%3B22)%22)+(supernumer*+OR+trisomy)+OR+%22Supernumerary+der(22)%22,64
Koolen-De Vries syndrome,96169,(microdel*%5Bti%5D+OR+deletion%5Bti%5D)+(%2217q21.31%22+OR+%2217q21.3%22)+OR+(microdeletions+%2217q21.31%22),55
Monosomy 13q34,96168,(del%5Bti%5D+OR+deletion%5Bti%5D+OR+loss%5Bti%5D)+(13q34%5Bti%5D+OR+(chromosome+13+(distal%5Bti%5D+OR+terminal%5Bti%5D+OR+telomer*%5Bti%5D))),22
Recombinant 8 syndrome,96167,(San+Luis+Valley%5Btw%5D+OR+%22Rec8%22+OR+(recombinant%5Bti%5D+8%5Bti%5D))+chromosome+8,19
Non-distal monosomy 20q,96164,(del%5Bti%5D+OR+deletion%5Bti%5D+OR+loss%5Bti%5D)+(20q*%5Bti%5D+chromosome+20)+NOT+(%2220q13.33%22+OR+20qter+OR+qter),83
Non-distal monosomy 12q,96160,(del%5Bti%5D+OR+deletion%5Bti%5D+OR+loss%5Bti%5D)+(12q*%5Bti%5D+chromosome+12)+NOT+(12q24%5Bti%5D+OR+12qter),39
Distal monosomy 20q,96152,(del%5Bti%5D+OR+deletion%5Bti%5D+OR+loss%5Bti%5D)+(20q13%5Bti%5D)+(20qter+OR+qter%5Btw%5D+OR+distal+OR+terminal+OR+telomer*),2
Distal monosomy 14q,96150,(del%5Bti%5D+OR+deletion%5Bti%5D+OR+loss%5Bti%5D)+(14q*%5Bti%5D)+(14q32%5Bti%5D+OR+14qter+OR+qter%5Btw%5D+OR+distal+OR+terminal+OR+telomer*),62
Distal monosomy 10q,96148,(del%5Bti%5D+OR+deletion%5Bti%5D+OR+loss%5Bti%5D)+10q*%5Bti%5D+(10q26%5Bti%5D+OR+10qter+OR+qter%5Btw%5D+OR+distal+OR+terminal+OR+telomer*),62
Distal monosomy 12q,96149,(del%5Bti%5D+OR+deletion%5Bti%5D+OR+loss%5Bti%5D)+(12q*%5Bti%5D)+(12q24%5Bti%5D+OR+12qter+OR+qter%5Btw%5D+OR+distal+OR+terminal+OR+telomer*),14
Kleefstra syndrome due to 9q34 microdeletion,96147,(del%5Bti%5D+OR+deletion*%5Bti%5D+OR+loss%5Bti%5D)+9q34%5Bti%5D,24
Distal monosomy 4q,96145,(del%5Bti%5D+OR+deletion*%5Bti%5D+OR+loss%5Bti%5D)+(4q*%5Bti%5D+chromosome+4)+(4qter+OR+qter%5Btw%5D+OR+distal+OR+terminal+OR+subtelomer*),57
Distal monosomy 19p13.3,96129,((short+arm%5Bti%5D+chromosome+19+OR+19p13*%5Bti%5D)+(deletion%5Bti%5D+OR+monosomy+OR+loss%5Bti%5D))+(distal+OR+telomer*+OR+terminal+OR+pter),6
Distal monosomy 6p,96125,((short+arm%5Bti%5D+chromosome+6+OR+6p*%5Bti%5D)+(deletion%5Bti%5D+OR+monosomy+OR+loss%5Bti%5D))+(distal+OR+telomer*+OR+terminal+OR+pter),58
Distal monosomy 7p,96126,((short+arm%5Bti%5D+chromosome+7+OR+7p*%5Bti%5D)+(deletion%5Bti%5D+OR+monosomy+OR+loss%5Bti%5D))+(distal+OR+telomer*+OR+terminal+OR+pter),35
7q11.23 microduplication syndrome,96121,(Trisomy+OR+duplication%5Bti%5D)+(7q11%5Bti%5D+OR+(7q11%5Btw%5D+chromosome+7)),37
Monosomy 22,96123,,0
Non-distal trisomy 9q,96112,(Trisomy+OR+duplication%5Bti%5D)+(9q*%5Bti%5D+OR+(chromosome+9+(long+arm%5Bti%5D)))+NOT+(mosaic*+OR+distal+OR+telomer*+OR+qter+OR+terminal),68
Distal trisomy 20q,96107,(Trisomy+OR+duplication%5Bti%5D)+(20q*%5Bti%5D+OR+(chromosome+20+(long+arm%5Bti%5D)))+(distal+OR+telomer*+OR+qter+OR+terminal+OR+subtelomer*),15
Distal trisomy 16q,96106,(Trisomy+OR+duplication%5Bti%5D)+(16q*%5Bti%5D+OR+(chromosome+16+(long+arm%5Bti%5D)))+(distal+OR+telomer*+OR+qter+OR+terminal),36
Distal trisomy 13q,96105,(Trisomy+OR+duplication%5Bti%5D)+(13q*%5Bti%5D+OR+(chromosome+13+(long+arm%5Bti%5D)))+(distal+OR+telomer*+OR+qter+OR+terminal),63
Distal trisomy 22q,96109,(Trisomy+OR+duplication%5Bti%5D)+(22q*%5Bti%5D+OR+(chromosome+22+(long+arm%5Bti%5D)))+(distal+OR+telomer*+OR+qter+OR+terminal+OR+subtelomer*),52
Distal trisomy 6q,96098,(Trisomy+OR+duplication%5Bti%5D)+(6q*%5Bti%5D+OR+(chromosome+6+(long+arm%5Bti%5D)))+(distal+OR+telomer*+OR+qter+OR+terminal),33
Distal trisomy 5q,96097,(Trisomy+OR+duplication%5Bti%5D)+(5q*%5Bti%5D+OR+(chromosome+5+(long+arm%5Bti%5D)))+(distal+OR+telomer*+OR+qter+OR+terminal),30
Distal trisomy 4q,96096,(Trisomy+OR+duplication%5Bti%5D)+(4q*%5Bti%5D+OR+(chromosome+4+(long+arm%5Bti%5D)))+(distal+OR+telomer*+OR+qter+OR+terminal),55
Distal trisomy 11q,96103,(Trisomy+OR+duplication%5Bti%5D)+(11q*%5Bti%5D+OR+(chromosome+11+(long+arm%5Bti%5D)))+(distal+OR+telomer*+OR+qter+OR+terminal),51
Distal trisomy 10q,96102,(Trisomy+OR+duplication%5Bti%5D)+(10q*%5Bti%5D+OR+(chromosome+10+(long+arm%5Bti%5D)))+(distal+OR+telomer*+OR+qter+OR+terminal),67
Distal trisomy 9q,96101,(Trisomy+OR+duplication%5Bti%5D)+(9q*%5Bti%5D+OR+(chromosome+9+(long+arm%5Bti%5D)))+(distal+OR+telomer*+OR+qter+OR+terminal),34
Distal trisomy 8q,96100,(Trisomy+OR+duplication%5Bti%5D)+(8q*%5Bti%5D+OR+(chromosome+8+(long+arm%5Bti%5D)))+(distal+OR+telomer*+OR+qter+OR+terminal),32
Distal trisomy 2q,96094,(Trisomy+OR+duplication%5Bti%5D)+(2q*%5Bti%5D+OR+(chromosome+2+(long+arm%5Bti%5D)))+(distal+OR+telomer*+OR+qter+OR+terminal),44
3q26 microduplication syndrome,96095,(Trisomy+OR+duplication%5Bti%5D)+(3q*%5Bti%5D+OR+(chromosome+3+(long+arm%5Bti%5D)))+(distal+OR+telomer*+OR+qter+OR+subtelomer*),53
8p inverted duplication/deletion syndrome,96092,(inv+dup%5Bti%5D+OR+(duplicat*%5Bti%5D+(inverted%5Bti%5D+OR+inversion%5Bti%5D)))+(8p*%5Bti%5D+OR+(short+arm%5Bti%5D+chromosome+8)),37
4p16.3 microduplication syndrome,96072,((Trisomy%5Bti%5D+OR+duplication%5Bti%5D+OR+(chromosome+4+trisomy))+4p*%5Bti%5D)+(distal+OR+telomer*+OR+subterminal+OR+pter+OR+4pter),39
Distal trisomy 7p,96074,((Trisomy%5Bti%5D+OR+duplication%5Bti%5D+OR+(chromosome+7+trisomy))+7p*%5Bti%5D)+(distal+OR+telomer*+OR+subterminal+OR+pter+OR+7pter),30
Beckwith-Wiedemann syndrome due to 11p15 microduplication,96076,((Trisomy%5Bti%5D+OR+duplication%5Bti%5D+OR+(chromosome+11+trisomy))+11p*%5Bti%5D)+(distal+OR+telomer*+OR+subterminal+OR+pter+OR+11pter),12
16p13.3 microduplication syndrome,96078,((Trisomy%5Bti%5D+OR+duplication%5Bti%5D+OR+(chromosome+16+trisomy))+16p*%5Bti%5D)+(distal+OR+telomer*+OR+subterminal+OR+pter+OR+16pter),19
Distal trisomy 1p36,96069,(((Trisomy%5Bti%5D+OR+duplication%5Bti%5D)+1p36*%5Bti%5D)+OR+(chromosome+1+%221p36%22+trisomy))+NOT+(deletion+1p36*%5Bti%5D),48
Mosaic trisomy 22,96068,((duplication%5Bti%5D+OR+trisomy)+(chromosome+22)+OR+trisomy+22%5Bti%5D+OR+chromosome+22%5Bti%5D)+(mosaic*%5Bti%5D+OR+mosaicism%5Bmh%5D),80
Distal trisomy 3p,96071,((Trisomy%5Bti%5D+OR+duplication%5Bti%5D+OR+(chromosome+3+trisomy))+3p*%5Bti%5D)+(distal+OR+telomer*+OR+subterminal+OR+pter+OR+3pter),44
Distal trisomy 2p,96070,((Trisomy%5Bti%5D+OR+duplication%5Bti%5D+OR+(chromosome+2+trisomy))+2p*%5Bti%5D)+(distal+OR+telomer*+OR+subterminal+OR+pter+OR+2pter),43
Mosaic trisomy 4,96059,((duplication%5Bti%5D+OR+trisomy)+(chromosome+4)+OR+trisomy+4%5Bti%5D)+mosaic*,23
Mosaic trisomy 5,96060,((duplication%5Bti%5D+OR+trisomy)+(chromosome+5)+OR+trisomy+5%5Bti%5D)+mosaic*,39
Mosaic trisomy 8,96061,((duplication%5Bti%5D+OR+trisomy%5Bmh%5D)+(chromosome+8)+OR+trisomy+8%5Bti%5D+OR+chromosome+8%5Bti%5D)+(mosaic*%5Bti%5D+OR+mosaicism%5Bmh%5D),216
Mosaic trisomy 10,96063,((duplication%5Bti%5D+OR+trisomy)+(chromosome+10)+OR+trisomy+10%5Bti%5D+OR+chromosome+10%5Bti%5D)+(mosaic*%5Bti%5D+OR+mosaicism%5Bmh%5D),22
Idiopathic congenital hypothyroidism,95717,,0
Thyroid hemiagenesis,95719,,0
Thyroid hypoplasia,95720,,0
Levocardia,95854,,0
Tetrasomy 21,96055,%22Tetrasomy+21%22+Aneuploidy,20
IRF2BPL- related regressive neurodevelopmental disorder-dystonia-seizures syndrome,597623,,0
Oculocutaneous albinism type 8,597733,,0
Luscan-Lumish syndrome,597738,,0
ALPI-related inflammatory bowel disease,597887,,0
Mixed cryoglobulinemia type III,93555,,0
Mixed cryoglobulinemia type II,93554,,0
Light and heavy chain deposition disease,93557,,0
Euthyroid dysprealbuinemic hyperthyroxinemia,597939,,0
Heavy chain deposition disease,93556,,0
SETD2-related microcephaly-severe intellectual disability-multiple congenital anomalies syndrome,597743,,0
"Blepharophimosis-intellectual disability syndrome, SBBYS type/genitopatellar overlap syndrome",597746,,0
Pediatric systemic lupus erythematosus,93552,,0
MTHFS-related developmental delay-microcephaly-short stature- epilepsy syndrome,597874,,0
AFib amyloidosis,93562,,0
Upper tract urothelial carcinoma,598216,,0
Facial dysmorphism-hypertrichosis-epilepsy-intellectual disability/developmental delay-gingival overgrowth syndrome,598603,,0
Multisystem inflammatory syndrome in children and adults,598363,,0
Light chain deposition disease,93558,,0
C3 deposition glomerulonephritis without proliferation,93559,,0
FOXG1 syndrome due to intragenic alteration,598164,,0
AApoAI amyloidosis,93560,,0
ALys amyloidosis,93561,,0
Dense deposit disease,93571,,0
Juvenile polymyositis,93568,,0
Polymyalgia rheumatica,93569,,0
TRIM22-related inflammatory bowel disease,597201,,0
Scheie syndrome,93474,,0
Hurler-Scheie syndrome,93476,,0
Hurler syndrome,93473,,0
Juvenile sialidosis type 2,93399,,0
Genochondromatosis type 2,93398,,0
Congenital sialidosis type 2,93400,,0
Syndactyly type 2,93403,,0
Syndactyly type 1,93402,,0
Syndactyly type 4,93405,,0
Syndactyly type 3,93404,,0
Syndactyly type 5,93406,,0
"Brachydactyly-syndactyly, Zhao type",93409,,0
Spondyloepimetaphyseal dysplasia with multiple dislocations,93360,,0
Spondyloepimetaphyseal dysplasia with joint laxity,93359,,0
Spondyloepimetaphyseal dysplasia-short limb-abnormal calcification syndrome,93358,,0
SPONASTRIME dysplasia,93357,,0
Familial hypocalciuric hypercalcemia type 1,93372,,0
Brachydactyly type A6,93382,,0
Brachydactyly type B,93383,,0
Brachydactyly type E,93387,,0
Brachydactyly type A1,93388,,0
Brachydactyly type C,93384,,0
Brachydactyly type A5,93389,,0
Brachydactyly type A2,93396,,0
Brachydactyly type A7,93397,,0
Brachydactyly type A4,93394,,0
Ballard syndrome,93395,,0
Localized dystrophic epidermolysis bullosa,595356,,0
Meningocele,93968,,0
Myelomeningocele,93969,,0
Blepharospasm-oromandibular dystonia syndrome,93964,,0
Oromandibular dystonia,93958,,0
Uremic pruritus,94059,Uremic+pruritus%5Btw%5D,310
Neovascular glaucoma,94058,"Glaucoma,+neovascular%5Bmh%5D+OR+neovascular+glaucoma%5Btw%5D+glaucoma%5Bmh%5D",1144
Humero-ulnar synostosis,94056,(Humeroulnar+synostos*%5Btw%5D+OR+Humero+ulnar%5Btw%5D+synostos*)+(humans+OR+patients),6
Smith-Fineman-Myers syndrome,93974,,0
Anotia,93976,,0
Chudley-Lowry-Hoar syndrome,93971,,0
Holmes-Gang syndrome,93970,,0
Carpenter-Waziri syndrome,93973,,0
Juberg-Marsidi syndrome,93972,,0
FG syndrome type 1,93932,,0
Bladder exstrophy,93930,,0
Isolated epispadias,93928,,0
Cloacal exstrophy,93929,,0
Midline interhemispheric variant of holoprosencephaly,93926,,0
Lobar holoprosencephaly,93924,,0
Alobar holoprosencephaly,93925,,0
Schwannomatosis,93921,,0
Familial thyroglossal duct cyst,93953,,0
"X-linked intellectual disability, Hedera type",93952,,0
Atypical Timothy syndrome,595109,,0
Perivascular epithelioid cell neoplasm,595133,,0
"X-linked intellectual disability, Sutherland-Haan type",93950,,0
Timothy syndrome type 1,595098,,0
"X-linked intellectual disability, Golabi-Ito-Hall type",93947,,0
Timothy syndrome type 2,595105,,0
Hamel cerebro-palato-cardiac syndrome,93946,,0
"X-linked intellectual disability, Porteous type",93945,,0
"X-linked intellectual disability, Fichera type",93944,,0
Corpus callosum dysgenesis-hypopituitarism syndrome,93943,,0
Laryngotracheoesophageal cleft type 4,93941,,0
Laryngotracheoesophageal cleft type 3,93940,,0
Laryngotracheoesophageal cleft type 2,93939,,0
Laryngotracheoesophageal cleft type 1,93938,,0
Hemoglobin H disease,93616,,0
Dent disease type 1,93622,,0
Dent disease type 2,93623,,0
Juvenile dermatomyositis,93672,,0
Unicentric Castleman disease,93685,,0
Infantile nephronophthisis,93591,,0
Juvenile nephronophthisis,93592,,0
Late-onset nephronophthisis,93589,,0
Primary hyperoxaluria type 1,93598,,0
Antley-Bixler syndrome without genital anomaly or disorder of steroidogenesis,596008,,0
Congenital thrombotic thrombocytopenic purpura,93583,,0
Immune-mediated thrombotic thrombocytopenic purpura,93585,,0
Atypical hemolytic uremic syndrome with anti-factor H antibodies,93581,,0
Distal renal tubular acidosis with anemia,93610,,0
Autosomal recessive distal renal tubular acidosis without deafness,93609,,0
Combined immunodeficiency due to Rela haploinsufficiency,596759,,0
Autosomal dominant distal renal tubular acidosis,93608,,0
Autosomal recessive proximal renal tubular acidosis,93607,,0
Cystinuria type B,93613,,0
Portosinusoidal vascular disease,596937,,0
Cystinuria type A,93612,,0
Incomplete septal cirrhosis,596941,,0
Autosomal recessive distal renal tubular acidosis with deafness,93611,,0
Xanthinuria type II,93602,,0
Xanthinuria type I,93601,,0
IgG4-related systemic disease,596448,,0
Primary hyperoxaluria type 3,93600,,0
Primary hyperoxaluria type 2,93599,,0
Eliglustat toxicity or dose selection,596747,,0
Nephrogenic syndrome of inappropriate antidiuresis,93606,,0
VEXAS syndrome,596753,,0
Classic Bartter syndrome,93605,,0
Antenatal Bartter syndrome,93604,,0
Toxicity to dolutegravir,596744,,0
Interventricular septum aneurysm,99092,,0
Laubry-Pezzi syndrome,99094,,0
Coronary ostial stenosis or atresia,99087,,0
Abnormal number of coronary ostia,99089,,0
Malposition of a coronary ostium,99090,,0
Pulmonary artery hypoplasia,99083,,0
Peripheral pulmonary stenosis,99084,,0
Cervical aortic arch,99079,,0
Right aortic arch,99081,,0
Dysphagia lusoria,99082,,0
Persistent fifth aortic arch,99076,,0
Encircling double aortic arch,99075,,0
Neuhauser anomaly,99078,,0
Kommerell diverticulum,99077,,0
Congenital patent ductus arteriosus aneurysm,99072,,0
Aorto-left ventricular tunnel,99071,,0
Complete atrioventricular septal defect-tetralogy of Fallot,99068,,0
Complete atrioventricular septal defect with ventricular hypoplasia,99067,,0
Aorto-right ventricular tunnel,99070,,0
Univentricular heart with single atrio-ventricular valve,99069,,0
Straddling and/or overriding mitral valve,99064,,0
Shone complex,99063,,0
Congenital total pulmonary venous return anomaly,99125,,0
Inferior vena cava interruption without azygos continuation,99123,,0
Congenital partial pulmonary venous return anomaly,99124,,0
Azygos continuation of the inferior vena cava,99121,,0
Congenital stenosis of the inferior vena cava,99122,,0
Right inferior vena cava connecting to left-sided atrium,99119,,0
Persistent eustachian valve,99120,,0
Coronary sinus stenosis,99117,,0
Coronary sinus atresia,99118,,0
Subaortic course of innominate vein,99113,,0
Agenesis of the superior vena cava,99114,,0
Persistent left superior vena cava connecting to the roof of left-sided atrium,99111,,0
Absence of innominate vein,99112,,0
Right superior vena cava connecting to left-sided atrium,99110,,0
Persistent left superior vena cava connecting through coronary sinus to left-sided atrium,99109,,0
Atrial septal aneurysm,99107,,0
"Atrial septal defect, ostium primum type",99106,,0
"Atrial septal defect, sinus venosus type",99105,,0
"Atrial septal defect, coronary sinus type",99104,,0
"Atrial septal defect, ostium secundum type",99103,,0
Ectasia of the left atrial appendage,99102,,0
Ectasia of the right atrial appendage,99101,,0
Juxtaposition of the atrial appendages,99100,,0
Cor triatriatum sinister,99099,,0
Cor triatriatum dexter,99098,,0
Congenital Gerbode defect,99095,,0
Multiple syringomas,99156,,0
Acquired von Willebrand syndrome,99147,,0
Neuromyelitis optica spectrum disorder with anti-AQP4 antibodies,592850,,0
Neuromyelitis optica spectrum disorder with anti-MOG antibodies,592856,,0
6-phosphogluconate dehydrogenase deficiency,99135,,0
Neuromyelitis optica spectrum disorder without anti-MOG and without anti-AQP4 antibodies,592869,,0
Hemolytic anemia due to erythrocyte adenosine deaminase overproduction,99138,,0
Acute transverse myelitis with anti-MOG antibodies,592873,,0
Isolated optic neuritis without anti-MOG antibodies,592885,,0
Isolated optic neuritis with anti-MOG antibodies,592888,,0
Unstable hemoglobin disease,99139,,0
Acute disseminated encephalomyelitis with anti-MOG antibodies,592894,,0
Microcephaly-cutis verticis gyrata-lymphedema syndrome,99142,,0
Acute disseminated encephalomyelitis without anti-MOG antibodies,592900,,0
Lymphedema-posterior choanal atresia syndrome,99141,,0
Congenital partial agenesis of pericardium,99130,,0
Congenital complete agenesis of pericardium,99129,,0
Pleuro-pericardial cyst,99131,,0
"48,XYYY syndrome",99329,,0
"49,XYYYY syndrome",99330,,0
Mosaic monosomy X,99228,,0
Paternal uniparental disomy of chromosome 13,99324,,0
Familial medullary thyroid carcinoma,99361,,0
Isolated distichiasis,99177,,0
Congenital eyelid retraction,99176,,0
Monosomy X,99226,,0
Kandori fleck retina,99179,,0
Tarsal kink syndrome,99170,,0
Epiblepharon,99169,,0
Euryblepharon,99172,,0
Isolated congenital ectropion,99171,,0
Familial combined hyperlipoproteinemia,99166,,0
"Primary dystonia, DYT2 type",99657,,0
Complete androgen insensitivity syndrome,99429,,0
"Spondyloepimetaphyseal dysplasia, Handigodu type",99642,,0
Turner syndrome due to structural X chromosome anomalies,99413,,0
Cheirospondyloenchondromatosis,99647,,0
Dappled diaphyseal dysplasia,99645,,0
Metaphyseal chondromatosis with D-2-hydroxyglutaric aciduria,99646,,0
Dermotrichic syndrome,99688,,0
Menke-Hennekam syndrome,592574,,0
GNAO1-related developmental delay-seizures-movement disorder spectrum,592564,,0
TRAF7-associated heart defect-digital anomalies-facial dysmorphism-motor and speech delay syndrome,592570,,0
Alveolar synechia-ankyloblepharon-ectodermal dysplasia syndrome,99694,,0
Fried's tooth and nail syndrome,99672,,0
MASS syndrome,99715,,0
Leber plus disease,99718,,0
Isolated melanotic schwannoma,590539,,0
Pituitary gigantism,99725,,0
Congenital-onset Steinert myotonic dystrophy,589821,,0
Juvenile-onset Steinert myotonic dystrophy,589827,,0
Mesial temporal lobe epilepsy with hippocampal sclerosis,99701,,0
Childhood-onset Steinert myotonic dystrophy,589824,,0
Late-onset Steinert myotonic dystrophy,589833,,0
Adult-onset Steinert myotonic dystrophy,589830,,0
"Obesity, hyperphagia, and severe developmental delay due toTrkB gene deficiency",99704,,0
PHIP-related behavioral problems-intellectual disability-obesity-dysmorphic features syndrome,589905,,0
